ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-03-10 12:00:00,16493.69258018216,14184.2020304858,18219.760389075025,16493.69258018216,16493.69258018216,-196.7609898542544,-196.7609898542544,-196.7609898542544,-379.4461101499932,-379.4461101499932,-379.4461101499932,182.6851202957387,182.6851202957387,182.6851202957387,0.0,0.0,0.0,16296.931590327906
2026-03-10 13:00:00,16490.95924509686,14433.998823092497,18734.5994756111,16490.95924509686,16490.95924509686,227.89627196912858,227.89627196912858,227.89627196912858,29.361052105927655,29.361052105927655,29.361052105927655,198.53521986320078,198.53521986320078,198.53521986320078,0.0,0.0,0.0,16718.85551706599
2026-03-10 14:00:00,16488.225910011555,14797.280207295882,18991.929763258544,16488.225910011555,16488.225910011555,345.62118002988166,345.62118002988166,345.62118002988166,130.15505857322114,130.15505857322114,130.15505857322114,215.4661214566604,215.4661214566604,215.4661214566604,0.0,0.0,0.0,16833.847090041436
2026-03-10 15:00:00,16485.492574926255,14739.412908339635,18948.232492485557,16485.492574926255,16485.492574926255,260.2662335521224,260.2662335521224,260.2662335521224,26.866608253515267,26.866608253515267,26.866608253515267,233.39962529860702,233.39962529860702,233.39962529860702,0.0,0.0,0.0,16745.75880847838
2026-03-10 16:00:00,16482.759239840954,14579.519636000765,18765.550119997344,16482.759239840954,16482.759239840954,135.41310514824235,135.41310514824235,135.41310514824235,-116.82359362023172,-116.82359362023172,-116.82359362023172,252.23669876847399,252.23669876847399,252.23669876847399,0.0,0.0,0.0,16618.172344989198
2026-03-10 17:00:00,16480.02590475565,14386.373084008375,18684.620885487326,16480.02590475565,16480.02590475565,78.62487376596293,78.62487376596293,78.62487376596293,-193.23403964304762,-193.23403964304762,-193.23403964304762,271.85891340901065,271.85891340901065,271.85891340901065,0.0,0.0,0.0,16558.650778521613
2026-03-10 18:00:00,16477.29256967035,14315.481358204632,18770.07899548748,16477.29256967035,16477.29256967035,121.08976729398807,121.08976729398807,121.08976729398807,-171.0403847087496,-171.0403847087496,-171.0403847087496,292.13015200273776,292.13015200273776,292.13015200273776,0.0,0.0,0.0,16598.382336964336
2026-03-10 19:00:00,16474.559234585045,14602.320199384769,18797.12420636331,16474.559234585045,16474.559234585045,281.8854641471967,281.8854641471967,281.8854641471967,-31.0130975891019,-31.0130975891019,-31.0130975891019,312.8985617362987,312.8985617362987,312.8985617362987,0.0,0.0,0.0,16756.44469873224
2026-03-10 20:00:00,16471.825899499745,14912.047672978217,19186.590032544584,16471.825899499745,16471.825899499745,616.3379013812015,616.3379013812015,616.3379013812015,282.3391749652184,282.3391749652184,282.3391749652184,333.99872641598324,333.99872641598324,333.99872641598324,0.0,0.0,0.0,17088.163800880946
2026-03-10 21:00:00,16469.09256441444,15679.123551566154,19811.784567187813,16469.09256441444,16469.09256441444,1172.0679523727447,1172.0679523727447,1172.0679523727447,816.8139246348115,816.8139246348115,816.8139246348115,355.2540277379333,355.2540277379333,355.2540277379333,0.0,0.0,0.0,17641.160516787186
